review_id,event_source,event_type,requested_action,requested_tool,environment,target_governance_json,reviewer_class,reviewer_governance_layer,reviewer_expected_enforce_decision,reviewer_confidence_1_5,reviewer_notes,reviewer_name,reviewed_at
R031,github/team-alpha/repo,git.push,secret.read,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""secret.read""],""allowed_event_sources"":[""github/team-alpha/*""],""allowed_event_types"":[""git.push""],""allowed_tools"":[""repo.read""]}}}",,,,,,,
R032,cron/backup-check,cron.tick,backup.verify,backup.read,production,"{""a"":{""governance"":{""allowed_actions"":[""backup.verify""],""allowed_event_sources"":[""cron/backup-check""],""allowed_event_types"":[""cron.tick""],""allowed_tools"":[""backup.read""]}}}",,,,,,,
R033,gitea/edge/device-4,git.comment.created,git.respond,repo.comment,production,"{""a"":{""governance"":{""allowed_actions"":[""git.respond""],""allowed_event_sources"":[""gitea/edge/*""],""allowed_event_types"":[""git.comment.*""],""allowed_tools"":[""repo.comment""]}}}",,,,,,,
R034,cron/backup-check,cron.tick,backup.verify,backup.delete,production,"{""a"":{""governance"":{""allowed_actions"":[""backup.verify""],""allowed_event_sources"":[""cron/backup-check""],""allowed_event_types"":[""cron.tick""],""allowed_tools"":[""backup.read""]}}}",,,,,,,
R035,gitea/edge/device-2,git.issue.opened,git.triage,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.triage""],""allowed_event_sources"":[""gitea/edge/*""],""allowed_event_types"":[""git.issue.*""],""allowed_tools"":[""repo.read""]}}}",,,,,,,
R036,gitea/edge/device-5,git.pull_request.closed,git.archive,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.archive""],""allowed_event_sources"":[""gitea/edge/*""],""allowed_event_types"":[""git.pull_request.*""],""allowed_tools"":[""repo.read""]}}}",,,,,,,
R037,github/team-alpha/repo-2,git.issue.opened,git.triage,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.triage""],""allowed_event_sources"":[""github/team-alpha/*""],""allowed_event_types"":[""git.issue.*""],""allowed_tools"":[""repo.read""]}}}",,,,,,,
R038,gitlab/platform/service-4,git.issue.comment_created,git.respond,repo.comment,production,"{""a"":{""governance"":{""allowed_actions"":[""git.respond""],""allowed_event_sources"":[""gitlab/platform/*""],""allowed_event_types"":[""git.issue.*""],""allowed_tools"":[""repo.comment""]}}}",,,,,,,
R039,gitea/edge/device-3,git.pull_request.created,git.review,repo.read,test,"{""a"":{""governance"":{""allowed_actions"":[""git.review""],""allowed_event_sources"":[""gitea/edge/*""],""allowed_event_types"":[""git.pull_request.*""],""allowed_tools"":[""repo.read""]}}}",,,,,,,
R040,imap/support,email.received,email.delete,mail.read,production,"{""a"":{""governance"":{""allowed_actions"":[""email.classify""],""allowed_event_sources"":[""imap/support""],""allowed_event_types"":[""email.received""],""allowed_tools"":[""mail.read""]}}}",,,,,,,
R041,imap/research,email.received,email.summarize,mail.read,production,"{""a"":{""governance"":{""allowed_actions"":[""email.summarize""],""allowed_event_sources"":[""imap/research""],""allowed_event_types"":[""email.received""],""allowed_tools"":[""mail.read""]}}}",,,,,,,
R042,gitlab/platform/service-5,git.pull_request.reopened,git.review,repo.read,test,"{""a"":{""governance"":{""allowed_actions"":[""git.review""],""allowed_event_sources"":[""gitlab/platform/*""],""allowed_event_types"":[""git.pull_request.*""],""allowed_tools"":[""repo.read""]}}}",,,,,,,
R043,gitlab/platform/service-2,git.issue.closed,git.archive,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.archive""],""allowed_event_sources"":[""gitlab/platform/*""],""allowed_event_types"":[""git.issue.*""],""allowed_tools"":[""repo.read""]}}}",,,,,,,
R044,gitlab/platform/service-3,git.pull_request.created,git.review,repo.read,test,"{""a"":{""governance"":{""allowed_actions"":[""git.review""],""allowed_event_sources"":[""gitlab/platform/*""],""allowed_event_types"":[""git.pull_request.*""],""allowed_tools"":[""repo.read""]}}}",,,,,,,
R045,webhook/forms,webhook.received,,,production,"{""a"":{""governance"":{""allowed_actions"":[""form.validate""],""allowed_event_sources"":[""webhook/forms""],""allowed_event_types"":[""webhook.received""],""require_action_declaration"":true}}}",,,,,,,
R046,github/team-alpha/repo,git.issue.opened,git.read,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.read""],""allowed_event_sources"":[""github/team-alpha/*""],""allowed_event_types"":[""git.push""],""allowed_tools"":[""repo.read""]}}}",,,,,,,
R047,manual/operator,manual.trigger,cache.inspect,cache.read,production,"{""a"":{""governance"":{""allowed_actions"":[""cache.inspect""],""allowed_event_sources"":[""manual/operator""],""allowed_event_types"":[""manual.trigger""],""allowed_tools"":[""cache.read""]}}}",,,,,,,
R048,webhook/forms,manual.trigger,test.run,,test,{},,,,,,,
R049,github/team-alpha/repo-4,git.comment.created,git.respond,repo.comment,production,"{""a"":{""governance"":{""allowed_actions"":[""git.respond""],""allowed_event_sources"":[""github/team-alpha/*""],""allowed_event_types"":[""git.comment.*""],""allowed_tools"":[""repo.comment""]}}}",,,,,,,
R050,gitlab/platform/repo,cron.tick,report.generate,,production,{},,,,,,,
R051,gitlab/rival/repo,git.push,git.read,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.read""],""allowed_event_sources"":[""gitlab/platform/*""],""allowed_event_types"":[""git.push""],""allowed_tools"":[""repo.read""]}}}",,,,,,,
R052,imap/support,git.issue.opened,git.read,,production,{},,,,,,,
R053,webhook/catalog,webhook.received,record.tag,record.read,production,"{""a"":{""governance"":{""allowed_actions"":[""record.tag""],""allowed_event_sources"":[""webhook/catalog""],""allowed_event_types"":[""webhook.received""],""allowed_tools"":[""record.read""]}}}",,,,,,,
R054,github/team-alpha/repo-3,git.pull_request.created,git.review,repo.read,test,"{""a"":{""governance"":{""allowed_actions"":[""git.review""],""allowed_event_sources"":[""github/team-alpha/*""],""allowed_event_types"":[""git.pull_request.*""],""allowed_tools"":[""repo.read""]}}}",,,,,,,
R055,cron/daily,cron.tick,report.generate,report.read,production,"{""a"":{""governance"":{""allowed_actions"":[""report.generate""],""allowed_event_sources"":[""cron/daily""],""allowed_event_types"":[""manual.trigger""],""allowed_tools"":[""report.read""]}}}",,,,,,,
R056,cron/nightly,webhook.received,ticket.triage,,production,{},,,,,,,
R057,imap/alerts,webhook.received,alert.notify,,production,{},,,,,,,
R058,imap/support,email.received,email.classify,mail.send,production,"{""a"":{""governance"":{""allowed_actions"":[""email.classify""],""allowed_event_sources"":[""imap/support""],""allowed_event_types"":[""email.received""],""allowed_tools"":[""mail.read""]}}}",,,,,,,
R059,webhook/router,webhook.received,ticket.route,ticket.read,production,"{""a"":{""governance"":{""allowed_actions"":[""ticket.route""],""allowed_event_sources"":[""webhook/router""],""allowed_event_types"":[""webhook.received""],""allowed_tools"":[""ticket.read""]}}}",,,,,,,
R060,gitea/edge/repo,git.comment.created,git.respond,repo.comment,production,"{""a"":{""governance"":{""allowed_actions"":[""git.respond""],""allowed_event_sources"":[""gitea/edge/*""],""allowed_event_types"":[""git.pull_request.*""],""allowed_tools"":[""repo.comment""]}}}",,,,,,,
