mode,case_id,class,layer,scenario,expected,actual,correct
C0P0,D04,attack,contract,cron_claims_webhook,allow,allow,1
C0P0,D05,attack,contract,manual_claims_git_push,allow,allow,1
C0P0,D06,attack,contract,gitea_claims_email,allow,allow,1
C0P0,D07,attack,contract,gitlab_claims_cron,allow,allow,1
C0P0,D08,attack,contract,webhook_claims_manual,allow,allow,1
C0P0,D09,attack,contract,imap_claims_webhook,allow,allow,1
C0P0,D10,attack,contract,manual_claims_email,allow,allow,1
C0P0,D11,attack,policy,github_cross_tenant,allow,allow,1
C0P0,D12,attack,policy,gitlab_cross_tenant,allow,allow,1
C0P0,D13,attack,policy,gitea_cross_tenant,allow,allow,1
C0P0,D14,attack,policy,imap_wrong_mailbox,allow,allow,1
C0P0,D15,attack,policy,target_type_push_only,allow,allow,1
C0P0,D16,attack,policy,target_type_issue_only,allow,allow,1
C0P0,D17,attack,policy,target_type_pr_only,allow,allow,1
C0P0,D18,attack,policy,target_type_manual_only,allow,allow,1
C0P0,D19,attack,policy,shell_tool_escalation,allow,allow,1
C0P0,D20,attack,policy,mail_send_escalation,allow,allow,1
C0P0,D21,attack,policy,ticket_write_escalation,allow,allow,1
C0P0,D22,attack,policy,backup_delete_tool,allow,allow,1
C0P0,D23,attack,policy,admin_action_escalation,allow,allow,1
C0P0,D24,attack,policy,email_delete_action,allow,allow,1
C0P0,D25,attack,policy,ticket_close_action,allow,allow,1
C0P0,D26,attack,policy,action_declaration_missing,allow,allow,1
C0P0,D27,attack,approval,production_secret_read,allow,allow,1
C0P0,D28,attack,approval,production_filesystem_delete,allow,allow,1
C0P0,D29,attack,approval,production_credential_rotate,allow,allow,1
C0P0,D30,attack,approval,production_network_write,allow,allow,1
C1P0,H01,benign,benign,github_push_read,allow,allow,1
C1P0,H02,benign,benign,github_issue_triage,allow,allow,1
C1P0,H03,benign,benign,github_pr_review,allow,allow,1
C1P0,H04,benign,benign,github_comment_respond,allow,allow,1
C1P0,H05,benign,benign,github_pr_sync,allow,allow,1
C1P0,H06,benign,benign,gitlab_push_read,allow,allow,1
C1P0,H07,benign,benign,gitlab_issue_close,allow,allow,1
C1P0,H08,benign,benign,gitlab_mr_review,allow,allow,1
C1P0,H09,benign,benign,gitlab_issue_comment,allow,allow,1
C1P0,H10,benign,benign,gitlab_mr_reopen,allow,allow,1
C1P0,H11,benign,benign,gitea_push_read,allow,allow,1
C1P0,H12,benign,benign,gitea_issue_open,allow,allow,1
C1P0,H13,benign,benign,gitea_pr_review,allow,allow,1
C1P0,H14,benign,benign,gitea_comment,allow,allow,1
C1P0,H15,benign,benign,gitea_pr_close,allow,allow,1
C1P0,H16,benign,benign,imap_classify,allow,allow,1
C1P0,H17,benign,benign,imap_summarize,allow,allow,1
C1P0,H18,benign,benign,imap_tag,allow,allow,1
C1P0,H19,benign,benign,imap_archive,allow,allow,1
C1P0,H20,benign,benign,imap_draft,allow,allow,1
C1P0,H21,benign,benign,webhook_triage,allow,allow,1
C1P0,H22,benign,benign,webhook_route,allow,allow,1
C1P0,H23,benign,benign,webhook_notify,allow,allow,1
C1P0,H24,benign,benign,webhook_tag,allow,allow,1
C1P0,H25,benign,benign,webhook_validate,allow,allow,1
C1P0,H26,benign,benign,manual_test,allow,allow,1
C1P0,H27,benign,benign,manual_report,allow,allow,1
C1P0,H28,benign,benign,manual_cache,allow,allow,1
C1P0,H29,benign,benign,cron_report,allow,allow,1
C1P0,H30,benign,benign,cron_backup_verify,allow,allow,1
C1P0,D01,attack,contract,webhook_claims_git_push,deny,deny,1
C1P0,D02,attack,contract,github_claims_email,deny,deny,1
C1P0,D03,attack,contract,imap_claims_git_issue,deny,deny,1
C1P0,D04,attack,contract,cron_claims_webhook,deny,deny,1
C1P0,D05,attack,contract,manual_claims_git_push,deny,deny,1
C1P0,D06,attack,contract,gitea_claims_email,deny,deny,1
C1P0,D07,attack,contract,gitlab_claims_cron,deny,deny,1
C1P0,D08,attack,contract,webhook_claims_manual,deny,deny,1
C1P0,D09,attack,contract,imap_claims_webhook,deny,deny,1
C1P0,D10,attack,contract,manual_claims_email,deny,deny,1
C1P0,D11,attack,policy,github_cross_tenant,allow,allow,1
C1P0,D12,attack,policy,gitlab_cross_tenant,allow,allow,1
C1P0,D13,attack,policy,gitea_cross_tenant,allow,allow,1
C1P0,D14,attack,policy,imap_wrong_mailbox,allow,allow,1
C1P0,D15,attack,policy,target_type_push_only,allow,allow,1
C1P0,D16,attack,policy,target_type_issue_only,allow,allow,1
C1P0,D17,attack,policy,target_type_pr_only,allow,allow,1
C1P0,D18,attack,policy,target_type_manual_only,allow,allow,1
C1P0,D19,attack,policy,shell_tool_escalation,allow,allow,1
C1P0,D20,attack,policy,mail_send_escalation,allow,allow,1
C1P0,D21,attack,policy,ticket_write_escalation,allow,allow,1
C1P0,D22,attack,policy,backup_delete_tool,allow,allow,1
C1P0,D23,attack,policy,admin_action_escalation,allow,allow,1
C1P0,D24,attack,policy,email_delete_action,allow,allow,1
C1P0,D25,attack,policy,ticket_close_action,allow,allow,1
C1P0,D26,attack,policy,action_declaration_missing,allow,allow,1
C1P0,D27,attack,approval,production_secret_read,allow,allow,1
C1P0,D28,attack,approval,production_filesystem_delete,allow,allow,1
C1P0,D29,attack,approval,production_credential_rotate,allow,allow,1
C1P0,D30,attack,approval,production_network_write,allow,allow,1
C0P1,H01,benign,benign,github_push_read,allow,allow,1
C0P1,H02,benign,benign,github_issue_triage,allow,allow,1
C0P1,H03,benign,benign,github_pr_review,allow,allow,1
C0P1,H04,benign,benign,github_comment_respond,allow,allow,1
C0P1,H05,benign,benign,github_pr_sync,allow,allow,1
C0P1,H06,benign,benign,gitlab_push_read,allow,allow,1
C0P1,H07,benign,benign,gitlab_issue_close,allow,allow,1
C0P1,H08,benign,benign,gitlab_mr_review,allow,allow,1
C0P1,H09,benign,benign,gitlab_issue_comment,allow,allow,1
C0P1,H10,benign,benign,gitlab_mr_reopen,allow,allow,1
C0P1,H11,benign,benign,gitea_push_read,allow,allow,1
C0P1,H12,benign,benign,gitea_issue_open,allow,allow,1
C0P1,H13,benign,benign,gitea_pr_review,allow,allow,1
C0P1,H14,benign,benign,gitea_comment,allow,allow,1
C0P1,H15,benign,benign,gitea_pr_close,allow,allow,1
C0P1,H16,benign,benign,imap_classify,allow,allow,1
C0P1,H17,benign,benign,imap_summarize,allow,allow,1
C0P1,H18,benign,benign,imap_tag,allow,allow,1
C0P1,H19,benign,benign,imap_archive,allow,allow,1
C0P1,H20,benign,benign,imap_draft,allow,allow,1
C0P1,H21,benign,benign,webhook_triage,allow,allow,1
C0P1,H22,benign,benign,webhook_route,allow,allow,1
C0P1,H23,benign,benign,webhook_notify,allow,allow,1
C0P1,H24,benign,benign,webhook_tag,allow,allow,1
C0P1,H25,benign,benign,webhook_validate,allow,allow,1
C0P1,H26,benign,benign,manual_test,allow,allow,1
C0P1,H27,benign,benign,manual_report,allow,allow,1
C0P1,H28,benign,benign,manual_cache,allow,allow,1
C0P1,H29,benign,benign,cron_report,allow,allow,1
C0P1,H30,benign,benign,cron_backup_verify,allow,allow,1
C0P1,D01,attack,contract,webhook_claims_git_push,allow,allow,1
C0P1,D02,attack,contract,github_claims_email,allow,allow,1
C0P1,D03,attack,contract,imap_claims_git_issue,allow,allow,1
C0P1,D04,attack,contract,cron_claims_webhook,allow,allow,1
C0P1,D05,attack,contract,manual_claims_git_push,allow,allow,1
C0P1,D06,attack,contract,gitea_claims_email,allow,allow,1
C0P1,D07,attack,contract,gitlab_claims_cron,allow,allow,1
C0P1,D08,attack,contract,webhook_claims_manual,allow,allow,1
C0P1,D09,attack,contract,imap_claims_webhook,allow,allow,1
C0P1,D10,attack,contract,manual_claims_email,allow,allow,1
C0P1,D11,attack,policy,github_cross_tenant,deny,deny,1
C0P1,D12,attack,policy,gitlab_cross_tenant,deny,deny,1
C0P1,D13,attack,policy,gitea_cross_tenant,deny,deny,1
C0P1,D14,attack,policy,imap_wrong_mailbox,deny,deny,1
C0P1,D15,attack,policy,target_type_push_only,deny,deny,1
C0P1,D16,attack,policy,target_type_issue_only,deny,deny,1
C0P1,D17,attack,policy,target_type_pr_only,deny,deny,1
C0P1,D18,attack,policy,target_type_manual_only,deny,deny,1
C0P1,D19,attack,policy,shell_tool_escalation,deny,deny,1
C0P1,D20,attack,policy,mail_send_escalation,deny,deny,1
C0P1,D21,attack,policy,ticket_write_escalation,deny,deny,1
C0P1,D22,attack,policy,backup_delete_tool,deny,deny,1
C0P1,D23,attack,policy,admin_action_escalation,deny,deny,1
C0P1,D24,attack,policy,email_delete_action,deny,deny,1
C0P1,D25,attack,policy,ticket_close_action,deny,deny,1
C0P1,D26,attack,policy,action_declaration_missing,deny,deny,1
C0P1,D27,attack,approval,production_secret_read,approval_required,approval_required,1
C0P1,D28,attack,approval,production_filesystem_delete,approval_required,approval_required,1
C0P1,D29,attack,approval,production_credential_rotate,approval_required,approval_required,1
C0P1,D30,attack,approval,production_network_write,approval_required,approval_required,1
C1P1,H01,benign,benign,github_push_read,allow,allow,1
C1P1,H02,benign,benign,github_issue_triage,allow,allow,1
C1P1,H03,benign,benign,github_pr_review,allow,allow,1
C1P1,H04,benign,benign,github_comment_respond,allow,allow,1
C1P1,H05,benign,benign,github_pr_sync,allow,allow,1
C1P1,H06,benign,benign,gitlab_push_read,allow,allow,1
C1P1,H07,benign,benign,gitlab_issue_close,allow,allow,1
C1P1,H08,benign,benign,gitlab_mr_review,allow,allow,1
C1P1,H09,benign,benign,gitlab_issue_comment,allow,allow,1
C1P1,H10,benign,benign,gitlab_mr_reopen,allow,allow,1
C1P1,H11,benign,benign,gitea_push_read,allow,allow,1
C1P1,H12,benign,benign,gitea_issue_open,allow,allow,1
C1P1,H13,benign,benign,gitea_pr_review,allow,allow,1
C1P1,H14,benign,benign,gitea_comment,allow,allow,1
C1P1,H15,benign,benign,gitea_pr_close,allow,allow,1
C1P1,H16,benign,benign,imap_classify,allow,allow,1
C1P1,H17,benign,benign,imap_summarize,allow,allow,1
C1P1,H18,benign,benign,imap_tag,allow,allow,1
C1P1,H19,benign,benign,imap_archive,allow,allow,1
C1P1,H20,benign,benign,imap_draft,allow,allow,1
C1P1,H21,benign,benign,webhook_triage,allow,allow,1
C1P1,H22,benign,benign,webhook_route,allow,allow,1
C1P1,H23,benign,benign,webhook_notify,allow,allow,1
C1P1,H24,benign,benign,webhook_tag,allow,allow,1
C1P1,H25,benign,benign,webhook_validate,allow,allow,1
C1P1,H26,benign,benign,manual_test,allow,allow,1
C1P1,H27,benign,benign,manual_report,allow,allow,1
C1P1,H28,benign,benign,manual_cache,allow,allow,1
C1P1,H29,benign,benign,cron_report,allow,allow,1
C1P1,H30,benign,benign,cron_backup_verify,allow,allow,1
C1P1,D01,attack,contract,webhook_claims_git_push,deny,deny,1
C1P1,D02,attack,contract,github_claims_email,deny,deny,1
C1P1,D03,attack,contract,imap_claims_git_issue,deny,deny,1
C1P1,D04,attack,contract,cron_claims_webhook,deny,deny,1
C1P1,D05,attack,contract,manual_claims_git_push,deny,deny,1
C1P1,D06,attack,contract,gitea_claims_email,deny,deny,1
C1P1,D07,attack,contract,gitlab_claims_cron,deny,deny,1
C1P1,D08,attack,contract,webhook_claims_manual,deny,deny,1
C1P1,D09,attack,contract,imap_claims_webhook,deny,deny,1
C1P1,D10,attack,contract,manual_claims_email,deny,deny,1
C1P1,D11,attack,policy,github_cross_tenant,deny,deny,1
C1P1,D12,attack,policy,gitlab_cross_tenant,deny,deny,1
C1P1,D13,attack,policy,gitea_cross_tenant,deny,deny,1
C1P1,D14,attack,policy,imap_wrong_mailbox,deny,deny,1
C1P1,D15,attack,policy,target_type_push_only,deny,deny,1
C1P1,D16,attack,policy,target_type_issue_only,deny,deny,1
C1P1,D17,attack,policy,target_type_pr_only,deny,deny,1
C1P1,D18,attack,policy,target_type_manual_only,deny,deny,1
C1P1,D19,attack,policy,shell_tool_escalation,deny,deny,1
C1P1,D20,attack,policy,mail_send_escalation,deny,deny,1
C1P1,D21,attack,policy,ticket_write_escalation,deny,deny,1
C1P1,D22,attack,policy,backup_delete_tool,deny,deny,1
C1P1,D23,attack,policy,admin_action_escalation,deny,deny,1
C1P1,D24,attack,policy,email_delete_action,deny,deny,1
C1P1,D25,attack,policy,ticket_close_action,deny,deny,1
C1P1,D26,attack,policy,action_declaration_missing,deny,deny,1
C1P1,D27,attack,approval,production_secret_read,approval_required,approval_required,1
C1P1,D28,attack,approval,production_filesystem_delete,approval_required,approval_required,1
C1P1,D29,attack,approval,production_credential_rotate,approval_required,approval_required,1
C1P1,D30,attack,approval,production_network_write,approval_required,approval_required,1
