review_id,event_source,event_type,requested_action,requested_tool,environment,target_governance_json,reviewer_class,reviewer_governance_layer,reviewer_expected_enforce_decision,reviewer_confidence_1_5,reviewer_notes,reviewer_name,reviewed_at
R011,manual/qa,manual.trigger,test.run,test.execute,test,"{""a"":{""governance"":{""allowed_actions"":[""test.run""],""allowed_event_sources"":[""manual/qa""],""allowed_event_types"":[""manual.trigger""],""allowed_tools"":[""test.execute""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R012,webhook/rogue,git.push,git.read,,production,{},attack,contract,deny,4,target_governance_json未申明，默认拒绝所有请求,Reviewer D,15/8/2026
R013,manual/analyst,manual.trigger,report.generate,report.read,production,"{""a"":{""governance"":{""allowed_actions"":[""report.generate""],""allowed_event_sources"":[""manual/analyst""],""allowed_event_types"":[""manual.trigger""],""allowed_tools"":[""report.read""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R014,gitea/edge/repo,email.received,email.classify,,production,{},attack,contract,deny,5,target_governance_json未申明，默认拒绝所有请求,Reviewer D,15/8/2026
R015,github/team-alpha/repo-1,git.push,git.read,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.read""],""allowed_event_sources"":[""github/team-alpha/*""],""allowed_event_types"":[""git.push""],""allowed_tools"":[""repo.read""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R016,cron/credential-rotation,cron.tick,credential.rotate,vault.write,prod,"{""a"":{""governance"":{""allowed_actions"":[""credential.rotate""],""allowed_event_sources"":[""cron/credential-rotation""],""allowed_event_types"":[""cron.tick""],""allowed_tools"":[""vault.write""]}}}",attack,approval,approval_required,5,source/type/action/tool 均在允许范围；prod 环境的敏感动作 credential.rotate 须人工审批。,Reviewer D,15/8/2026
R017,webhook/deploy,webhook.received,network.production.write,deploy.execute,production,"{""a"":{""governance"":{""allowed_actions"":[""network.production.write""],""allowed_event_sources"":[""webhook/deploy""],""allowed_event_types"":[""webhook.received""],""allowed_tools"":[""deploy.execute""]}}}",attack,approval,approval_required,5,source/type/action/tool 均在允许范围；production 环境的敏感动作 network.production.write 须人工审批。,Reviewer D,15/8/2026
R018,gitlab/platform/repo,git.pull_request.created,git.review,repo.read,test,"{""a"":{""governance"":{""allowed_actions"":[""git.review""],""allowed_event_sources"":[""gitlab/platform/*""],""allowed_event_types"":[""git.issue.*""],""allowed_tools"":[""repo.read""]}}}",attack,policy,deny,5,事件类型不在允许范围内，请求应拒绝,Reviewer D,15/8/2026
R019,github/team-alpha/repo,git.push,admin.grant,repo.read,test,"{""a"":{""governance"":{""allowed_actions"":[""git.read""],""allowed_event_sources"":[""github/team-alpha/*""],""allowed_event_types"":[""git.push""],""allowed_tools"":[""repo.read""]}}}",attack,policy,deny,5,请求动作不在允许范围内，请求应拒绝,Reviewer D,15/8/2026
R020,manual/support,email.received,email.classify,,production,{},attack,contract,deny,4,target_governance_json未申明，默认拒绝所有请求,Reviewer D,15/8/2026
R021,github/team-alpha/repo-5,git.pull_request.synchronize,git.verify,ci.read,test,"{""a"":{""governance"":{""allowed_actions"":[""git.verify""],""allowed_event_sources"":[""github/team-alpha/*""],""allowed_event_types"":[""git.pull_request.*""],""allowed_tools"":[""ci.read""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R022,imap/archive,email.received,email.archive,mail.read,production,"{""a"":{""governance"":{""allowed_actions"":[""email.archive""],""allowed_event_sources"":[""imap/archive""],""allowed_event_types"":[""email.received""],""allowed_tools"":[""mail.read""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R023,webhook/helpdesk,webhook.received,ticket.close,ticket.read,production,"{""a"":{""governance"":{""allowed_actions"":[""ticket.triage""],""allowed_event_sources"":[""webhook/helpdesk""],""allowed_event_types"":[""webhook.received""],""allowed_tools"":[""ticket.read""]}}}",attack,policy,deny,5,请求动作不在允许范围内，请求应拒绝,Reviewer D,15/8/2026
R024,manual/operator,git.push,git.read,,production,{},attack,contract,deny,4,target_governance_json未申明，默认拒绝所有请求,Reviewer D,15/8/2026
R025,cron/daily-report,cron.tick,report.generate,report.read,production,"{""a"":{""governance"":{""allowed_actions"":[""report.generate""],""allowed_event_sources"":[""cron/daily-report""],""allowed_event_types"":[""cron.tick""],""allowed_tools"":[""report.read""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R026,webhook/monitor,webhook.received,alert.notify,alert.send,production,"{""a"":{""governance"":{""allowed_actions"":[""alert.notify""],""allowed_event_sources"":[""webhook/monitor""],""allowed_event_types"":[""webhook.received""],""allowed_tools"":[""alert.send""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R027,manual/operator,manual.trigger,filesystem.delete,filesystem.write,production,"{""a"":{""governance"":{""allowed_actions"":[""filesystem.delete""],""allowed_event_sources"":[""manual/operator""],""allowed_event_types"":[""manual.trigger""],""allowed_tools"":[""filesystem.write""]}}}",attack,approval,approval_required,5,source/type/action/tool 均在允许范围；production 环境的敏感动作 filesystem.delete 须人工审批。,Reviewer D,15/8/2026
R028,github/team-alpha/repo,email.received,email.classify,,production,{},attack,contract,deny,4,target_governance_json未申明，默认拒绝所有请求,Reviewer D,15/8/2026
R029,github/team-beta/repo,git.push,git.read,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.read""],""allowed_event_sources"":[""github/team-alpha/*""],""allowed_event_types"":[""git.push""],""allowed_tools"":[""repo.read""]}}}",attack,policy,deny,5,事件源不在允许范围内，请求应拒绝,Reviewer D,15/8/2026
R030,imap/sales,email.received,email.draft,mail.read,test,"{""a"":{""governance"":{""allowed_actions"":[""email.draft""],""allowed_event_sources"":[""imap/sales""],""allowed_event_types"":[""email.received""],""allowed_tools"":[""mail.read""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R031,github/team-alpha/repo,git.push,secret.read,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""secret.read""],""allowed_event_sources"":[""github/team-alpha/*""],""allowed_event_types"":[""git.push""],""allowed_tools"":[""repo.read""]}}}",attack,approval,approval_required,4,source/type/action/tool 均在允许范围；production 环境的敏感信息及相关动作 secret.read 须人工审批。,Reviewer D,15/8/2026
R032,cron/backup-check,cron.tick,backup.verify,backup.read,production,"{""a"":{""governance"":{""allowed_actions"":[""backup.verify""],""allowed_event_sources"":[""cron/backup-check""],""allowed_event_types"":[""cron.tick""],""allowed_tools"":[""backup.read""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R033,gitea/edge/device-4,git.comment.created,git.respond,repo.comment,production,"{""a"":{""governance"":{""allowed_actions"":[""git.respond""],""allowed_event_sources"":[""gitea/edge/*""],""allowed_event_types"":[""git.comment.*""],""allowed_tools"":[""repo.comment""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R034,cron/backup-check,cron.tick,backup.verify,backup.delete,production,"{""a"":{""governance"":{""allowed_actions"":[""backup.verify""],""allowed_event_sources"":[""cron/backup-check""],""allowed_event_types"":[""cron.tick""],""allowed_tools"":[""backup.read""]}}}",attack,policy,deny,5,请求工具不在允许范围内，请求应拒绝,Reviewer D,15/8/2026
R035,gitea/edge/device-2,git.issue.opened,git.triage,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.triage""],""allowed_event_sources"":[""gitea/edge/*""],""allowed_event_types"":[""git.issue.*""],""allowed_tools"":[""repo.read""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R036,gitea/edge/device-5,git.pull_request.closed,git.archive,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.archive""],""allowed_event_sources"":[""gitea/edge/*""],""allowed_event_types"":[""git.pull_request.*""],""allowed_tools"":[""repo.read""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R037,github/team-alpha/repo-2,git.issue.opened,git.triage,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.triage""],""allowed_event_sources"":[""github/team-alpha/*""],""allowed_event_types"":[""git.issue.*""],""allowed_tools"":[""repo.read""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R038,gitlab/platform/service-4,git.issue.comment_created,git.respond,repo.comment,production,"{""a"":{""governance"":{""allowed_actions"":[""git.respond""],""allowed_event_sources"":[""gitlab/platform/*""],""allowed_event_types"":[""git.issue.*""],""allowed_tools"":[""repo.comment""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R039,gitea/edge/device-3,git.pull_request.created,git.review,repo.read,test,"{""a"":{""governance"":{""allowed_actions"":[""git.review""],""allowed_event_sources"":[""gitea/edge/*""],""allowed_event_types"":[""git.pull_request.*""],""allowed_tools"":[""repo.read""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R040,imap/support,email.received,email.delete,mail.read,production,"{""a"":{""governance"":{""allowed_actions"":[""email.classify""],""allowed_event_sources"":[""imap/support""],""allowed_event_types"":[""email.received""],""allowed_tools"":[""mail.read""]}}}",attack,policy,deny,5,请求动作不在允许范围内，请求应拒绝,Reviewer D,15/8/2026
R041,imap/research,email.received,email.summarize,mail.read,production,"{""a"":{""governance"":{""allowed_actions"":[""email.summarize""],""allowed_event_sources"":[""imap/research""],""allowed_event_types"":[""email.received""],""allowed_tools"":[""mail.read""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R042,gitlab/platform/service-5,git.pull_request.reopened,git.review,repo.read,test,"{""a"":{""governance"":{""allowed_actions"":[""git.review""],""allowed_event_sources"":[""gitlab/platform/*""],""allowed_event_types"":[""git.pull_request.*""],""allowed_tools"":[""repo.read""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R043,gitlab/platform/service-2,git.issue.closed,git.archive,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.archive""],""allowed_event_sources"":[""gitlab/platform/*""],""allowed_event_types"":[""git.issue.*""],""allowed_tools"":[""repo.read""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R044,gitlab/platform/service-3,git.pull_request.created,git.review,repo.read,test,"{""a"":{""governance"":{""allowed_actions"":[""git.review""],""allowed_event_sources"":[""gitlab/platform/*""],""allowed_event_types"":[""git.pull_request.*""],""allowed_tools"":[""repo.read""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R045,webhook/forms,webhook.received,,,production,"{""a"":{""governance"":{""allowed_actions"":[""form.validate""],""allowed_event_sources"":[""webhook/forms""],""allowed_event_types"":[""webhook.received""],""require_action_declaration"":true}}}",attack,policy,deny,5,目标要求声明 action，但请求未提供；请求应拒绝,Reviewer D,15/8/2026
R046,github/team-alpha/repo,git.issue.opened,git.read,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.read""],""allowed_event_sources"":[""github/team-alpha/*""],""allowed_event_types"":[""git.push""],""allowed_tools"":[""repo.read""]}}}",attack,policy,deny,5,事件类型不在允许范围，请求应拒绝,Reviewer D,15/8/2026
R047,manual/operator,manual.trigger,cache.inspect,cache.read,production,"{""a"":{""governance"":{""allowed_actions"":[""cache.inspect""],""allowed_event_sources"":[""manual/operator""],""allowed_event_types"":[""manual.trigger""],""allowed_tools"":[""cache.read""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R048,webhook/forms,manual.trigger,test.run,,test,{},attack,contract,deny,4,target_governance_json未申明，默认拒绝所有请求,Reviewer D,15/8/2026
R049,github/team-alpha/repo-4,git.comment.created,git.respond,repo.comment,production,"{""a"":{""governance"":{""allowed_actions"":[""git.respond""],""allowed_event_sources"":[""github/team-alpha/*""],""allowed_event_types"":[""git.comment.*""],""allowed_tools"":[""repo.comment""]}}}",benign,benign,allow,4,target_governance_json未申明，默认拒绝所有请求,Reviewer D,15/8/2026
R050,gitlab/platform/repo,cron.tick,report.generate,,production,{},attack,contract,deny,5,gitlab/platform/repo 无权声明 cron.tick；source–type 命名空间不匹配。,Reviewer D,15/8/2026
R051,gitlab/rival/repo,git.push,git.read,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.read""],""allowed_event_sources"":[""gitlab/platform/*""],""allowed_event_types"":[""git.push""],""allowed_tools"":[""repo.read""]}}}",attack,policy,deny,5,事件源不在允许范围内，请求应拒绝,Reviewer D,15/8/2026
R052,imap/support,git.issue.opened,git.read,,production,{},attack,contract,deny,4,target_governance_json未申明，默认拒绝所有请求,Reviewer D,15/8/2026
R053,webhook/catalog,webhook.received,record.tag,record.read,production,"{""a"":{""governance"":{""allowed_actions"":[""record.tag""],""allowed_event_sources"":[""webhook/catalog""],""allowed_event_types"":[""webhook.received""],""allowed_tools"":[""record.read""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R054,github/team-alpha/repo-3,git.pull_request.created,git.review,repo.read,test,"{""a"":{""governance"":{""allowed_actions"":[""git.review""],""allowed_event_sources"":[""github/team-alpha/*""],""allowed_event_types"":[""git.pull_request.*""],""allowed_tools"":[""repo.read""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R055,cron/daily,cron.tick,report.generate,report.read,production,"{""a"":{""governance"":{""allowed_actions"":[""report.generate""],""allowed_event_sources"":[""cron/daily""],""allowed_event_types"":[""manual.trigger""],""allowed_tools"":[""report.read""]}}}",attack,policy,deny,5,事件类型不在允许范围，请求应拒绝,Reviewer D,15/8/2026
R056,cron/nightly,webhook.received,ticket.triage,,production,{},attack,contract,deny,4,target_governance_json未申明，默认拒绝所有请求,Reviewer D,15/8/2026
R057,imap/alerts,webhook.received,alert.notify,,production,{},attack,contract,deny,4,target_governance_json未申明，默认拒绝所有请求,Reviewer D,15/8/2026
R058,imap/support,email.received,email.classify,mail.send,production,"{""a"":{""governance"":{""allowed_actions"":[""email.classify""],""allowed_event_sources"":[""imap/support""],""allowed_event_types"":[""email.received""],""allowed_tools"":[""mail.read""]}}}",attack,policy,deny,5,请求工具不在允许范围内，请求应拒绝,Reviewer D,15/8/2026
R059,webhook/router,webhook.received,ticket.route,ticket.read,production,"{""a"":{""governance"":{""allowed_actions"":[""ticket.route""],""allowed_event_sources"":[""webhook/router""],""allowed_event_types"":[""webhook.received""],""allowed_tools"":[""ticket.read""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R060,gitea/edge/repo,git.comment.created,git.respond,repo.comment,production,"{""a"":{""governance"":{""allowed_actions"":[""git.respond""],""allowed_event_sources"":[""gitea/edge/*""],""allowed_event_types"":[""git.pull_request.*""],""allowed_tools"":[""repo.comment""]}}}",attack,policy,deny,5,事件类型不在允许范围，请求应拒绝,Reviewer D,15/8/2026
